"蘊釀運","走醞釀運／如同冬末春初／萬物等待甦醒／或是如同剛懷胎１至４個月／有喜，但是沒有動能，最脆弱，受不了刺激／容易想不開或是自殺／憂鬱症容易發作／想改變現狀但是沒有動能／不適合開創，投資或是短期投資／較適合中長期規劃／免疫力最低／精神力，意志力最差／心有餘而力不足／等待與接受機會 ／後半年度貴人出現 ／身體有病最不樂觀","(谷底 轉運的開始)體力、意志力、免疫力、精神力 ( 0%)   (思考判斷力不清楚)","先求安心3分／勿離母體2分／少存幻想1分／等待時機2分／培養人際關係2分","走到胎運時，只要懂得保持內心安定，不要太輕易的放棄目前所依賴的組織和一切，更不要一味的想追求新目標。請耐心等待好時機的來臨，先好好培養人際關係，才是最好的處方。","這時候意志最為薄弱，連拒絕都沒力量，是成交的大好機會。但是容易反覆，須注意。宜加強追蹤。","這段運最利增員, 意志最薄弱, 想改變新方向, 接踵而來又是好運程，真是一舉多得的增員好機會。","憂鬱／心中浮動／胡亂改變現狀"
"吸收運","走養運(吸收運)好運開始／如同春天的氣息，欣欣向榮／也如同懷孕４至１０個月，生命力旺盛，受到他人的保護／內吸力最強／貴人最旺／最適合創業的開始／人際關係不錯，人助之運／最適合做組織增員、陌生開發、結交新朋友／但是容易心動，心養，嚮往新的方向或改變現狀及換工作／迎合機會，創造機會／最容易逢凶化吉的一段運","(好運的第一年)體力、意志力、免疫力、精神力、判斷力、思考力   (70%)                                              ","吸收學習3分／接受安排2分／補充人際2分／按部就班2分／勿存貪念1分","走到養運時，要懂得多多吸收和學習，並且接受別人的安排，再多補充人際關係，然後一步一步的、穩定踏實的做事，千萬不要存有貪念，就是最好的處方。","這段時間精神力恢復，意識清楚，心態很正面，滿容易切入保險。就算沒購買保險，也容易投資到其他方向去，宜注意之。","此時為最佳增員時機, 心動嚮往新方向或是新工作, 已經是好運的第一年，可說是增員的大好機會。","沒上進心／不切實際／不主動要人幫忙"
"成長運","走長生運(成長運)(好運的第二年)／如同小孩１至６歲，學習與吸收力驚人／能量８０%／運好貴人又多／要人有人要錢有錢／有新機會點／事業平穩直上／事業的發展期／人際關係好／可做組織增員、陌生開發、結交新朋友／突破格局","(好運的第二年)體力、意志力、免疫力、精神力、判斷力、思考力   (80%)","早睡早起2分／積極努力2分／抓天時2分／靠地利2分／求人和2分","走到長生運時，要懂得培養良好的生活習慣，做事積極、努力、不懈怠。有時機就把握，遇到事情要懂得利用地緣關係，勿遠求。在事業工作上力求人和，不破壞人際關係，就是最好的處方。","這時候自我意識漸強，事業擴充，野心變大。資金容易運用到他途，所以要耐心等待，攻心為上，最好由對方的個性切入，如重朋友型的，就與之套交情，或者看重金錢的，則利誘之等等。","運勢漸漸轉強, 不利增員。意識清楚, 自我認定並且主觀強, 可利用人格特質、個性來切入，增員仍有望。","原地不動／後知後覺／不求人"
"成熟運","走成熟運(表現型的知名度運)也帶桃花／能力表現期／知名度之行業與工作更旺財／如同１８歲的年輕人不受拘束，抗性又強／事業上容易升官與發財／最適合事業的茁壯／但忌投機(資)／學生考試的考運佳／陌生的人際關係不錯／小心自主太強，容易招小人／夫妻失和／組織增員容易、很容易陌生開發、易結交新朋友／身體不好或重病，此運會加重病情","體力、意志力、免疫力  (90%)","修身養性2分／心存正念2分／積極表現2分／勿太自我2分／切忌投機2分","走到冠帶運時，要修身養性，為人處事必須心存正念。在事業工作上要力求積極表現，千萬不要太有自我意識，更不要有投機的念頭，這就是最好的處方。","這段運程自主意識甚強，不易洗腦與溝通，除非客戶自己願意，否則成交機率低。最好由對方的個性切入，如重朋友型的，就與之套交情，或者看重金錢的，則利誘之等等。","這時期能量變強, 不易增員。個人意識強烈, 並以自我為中心, 主觀強, 仍可利用人格特質與個性來切入增員。讚美, 引導製造不服輸的氣氛, 因為走強運程的人，不管什麼五行都會有不服輸的特質。","自我為是／目中無人"
"發展運","走臨官運(發展運)如同３０歲以上的成年人／成熟穩健，玉樹臨風／投資擴充／發揮所長盡情表現／最適合事業的擴充與壯大／運強氣剛，夫妻容易吵架或容易犯小人 ／低調隱藏反得利","(強運的第一年)體力、意志力、免疫力、精神力、判斷力、思考力   (90%)","抑制野心3分／充分表現2分／收斂脾氣2分／杜絕衝動2分／深藏不露1分","走到臨官運時，要懂得克制野心。在事業工作上盡量充分表現實力，只問耕耘，不問收穫。與人相處要收斂脾氣，不衝動，不出言不遜，學習如何深藏不露，就是最好的處方。","這個階段自我意識最強，可借力使力，用案例來引導，或是身旁有熟識的朋友可助一臂之力，推波助瀾一番，運用對方的個性突圍，成交仍有可期。","臨官運程能量外放, 不易增員。意識抬頭, 主觀自我, 可利用人格特質與個性切入增員。讚美, 引導製造不服輸的氣氛, 因為走強運程的人，不管什麼五行都會有不服輸的特質。","自我意識過高／或沒有志向與志氣"
"巔峰運","走巔峰運(強運)能量最大／是最能發揮能力與能量的一段強運／集合能量與財氣於一身／如同中午的日正當中或是(正夏的現象)／也像成熟的50歲成人，智慧能力彙集一身／脾氣愈客氣就可以獲得最大的收穫／運勢太強火氣太大反而容易與人口角或得罪而帶來是非不順／自主意識太強夫妻容易吵架或是犯小人／下半年度容易犯小人而不穩定／忠言逆耳 ／較聽不下別人的意見而錯估情事導致不順／得理要饒人反得利","(強運的第二年)體力、意志力、免疫力、精神力、判斷力、思考力   (100%)","消除肝火2分／控制情緒2分／謙卑有禮2分／對上要尊1分／求理性1分／多寬容1分／用心經營1分","走到帝旺運時，凡事不動肝火，多多控制自己的情緒。培養謙卑有禮的行為，切忌犯上，要有理性，勿失控。對外來的是非衝擊要多寬容，用心經營自己的事業與人生，才是最好的處方。","完全自我主義者。能否成交完全看對方當日心情而定。所以套交情、攻心為上、以柔克剛。","走帝旺運時能量最強，抗性也最強, 不容易增員。主觀最強, 可利用人格特質與個性切入來談增員。 讚美, 引導製造不服輸的氣氛, 因為走強運程的人，不管什麼五行都會有不服輸的特質。","傲慢／自大／自滿／自我為中心"
"老化運","走老化運(回收運的第一年)如同年齡60歲之現象／偶有心有餘力不足之感／倦怠感油然而生／也如同午後一點的氣息／運勢還不錯還有70%的動力／學生的考運佳／夫妻吵架容易分手／積極回收暗財豐富／前段運程經營的好，可得貴人幫助／此段運的現象如同秋天一樣秋高氣爽正好眠／走衰運也是福德運／神助之運","體力、意志力、免疫力、精神力、判斷力、思考力  (70%)","主動積極2分／排除倦怠2分／意志堅定2分／等待收成2分／絕不放棄2分","走到衰運時，只要繼續保持主動積極的心，排除倦怠感，堅定你的意志力，假如你前段有努力經營的事業與人生，請你耐心的等待回報與收成，決不輕易放棄現有的資源，就是最好的處方。","這時候意志下滑，態度被動，故保險業務員要密切注意追蹤。必要時要幫推客戶一把，激起他的購買慾。","走到衰運能量已往下滑, 意識鬆懈, 保護色彩減低, 容易被說服增員。主觀不強, 使用推, 誘, 利方法都不錯。","懶散／被動"
"病變運","走病變運(最強回收運)／此段運又像年齡70歲的老化現象／前段有經營走病運時回收最大／但是氣力使不上勁／情緒不穩／思緒不定／心情時好時壞／健康多異樣 ／容易被誤診 ／凡事三思而後行／ 容易亂投資／因為疏失而發生意外如同秋末冬初萬物正要入庫冬眠般的忙碌收入(只進不出)／思想／健康／精神／毅力都在下滑中","體力、意志力、免疫力、精神力、判斷力 (50%)   ( 思考力不清楚)","安定心思3分／不惶恐1分／不怨恨1分／不急燥1分／不變節1分／不投機1分／三思而行2分","走到病運時，心神要安定。對現況不要惶恐、不要有怨恨心，不急急躁躁、不要輕易變節、不可投機，凡事都要三思而後行，這就是最好的處方。","這段運程思維不堅定，易受他人遊說，有極佳的成交機率，所以不可放棄談保險的機會。","走病運主觀消失, 意識不清, 容易被說服增員。不過容易反覆, 這點要相當注意。要利用人格特質與個性切入增員，推, 誘, 利均可。","判斷錯誤／自我放棄／急躁或改變"
"破滅運","走破滅運(壞運的第一年)(知名度運)桃花運／靠知名度的行業或工作性質大發／工作容易升官發財／容易有人找合夥或投資／但是不能投(機)資／學生逢考試考運極佳／選舉之候選人最容易當選的一段運／容易被發現能力或是被挖角／可以做組織增員、陌生開發、或結交新朋友／CASE也容易成交／是非問題多，意外，口舌，官司，破財，血光，牽累／身體有病容易不樂觀","(壞運第一年)體力、意志力、免疫力、精神力 (30%)  (思考判斷力不清楚) ","反省檢討2分／記取教訓2分／不悲觀1分／不失望1分／再接再勵2分／毫不猶豫2分","走到死運時，只要懂得反省和檢討，記取過去失敗的教訓，保持不悲觀、不失望的心情，要求自己再接再厲，碰到機會絕不猶豫，就是最好的處方。","俗語說：「人牽牽不走，鬼牽拼命跑。」正是形容走死運的人最佳寫照。是破財運，也是最容易被說服的一段運程。成交機率極高喔，加油！加油！Go Go Go！","走到死運時，此人動能消失, 擁有相當棒的外緣親和力, 沒有強烈主觀, 容易被說服增員。偶會反覆, 可利用人格特質與個性切入增員，推, 誘, 利均可。","投(資)機／大意／不小心／粗心"
"谷底運","走谷底運(充實運)最沒有力量／如同冬天萬物沈寂／谷底運／不順，是非，官司，口舌，意外，血光，破財，情緒低弱都在此段運程發生／千萬不能投(機)資／最適合充實自我／調整自己／等待機會／借力使力／身體有病容易加重病情／注意身體與情緒的健康吉","(壞運第二年)體力、意志力、免疫力、精神力 ( 10%)  (思考判斷力不清楚)","清除不良2分／結束危機2分／暫時休息2分／鍛練身體2分／重新佈局2分","走到絕運時，只要把過去經營不良的、或有危機的事物一一做清除或結束，然後暫時休息一下，好好的鍛鍊身體，養精蓄銳一番，再重新佈局，前進未來，這將是最好的處方。","在這個運程裡沒有什麼動能與意志，可多設誘因，相信可達到超出預期之效果喔！","此人動能意識全消失, 正走到大運的最後一年，是個谷底運勢，也是最沒有反擊力之運程。壞運當頭, 就算被你增員進來也不會有太大的幫助。非常容易被說服增員, 偶有反覆。建議暫且按兵不動，等待來年另一個大運的來臨，再做增員動作，免得徒勞無功。","悲觀／茫然／自我放棄"
